Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	10.440869
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	9.722808
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	9.535275
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	9.507794
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	9.920353
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	9.211888
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	10.173677
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	11.360298
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	10.306062
10	Adipose-Cancer	GSE13506	GSM340488	T	None	9.113742
11	Adipose-Normal	GSE41168	GSM1009760	T	None	9.296916
12	Adipose-Normal	GSE41168	GSM1009772	T	None	10.819381
13	Adipose-Normal	GSE41168	GSM1009776	T	None	9.202124
14	Adipose-Normal	GSE41168	GSM1009800	T	None	8.851749
15	Adipose-Normal	GSE41168	GSM1009804	T	None	9.35975
16	Adipose-Normal	GSE41168	GSM1009812	T	None	8.23362
17	Adipose-Normal	GSE41168	GSM1009820	T	None	9.924812
18	Adipose-Normal	GSE41168	GSM1009828	T	None	9.57554
19	Adipose-Normal	GSE41168	GSM1009836	T	None	9.629356
20	Adipose-Normal	GSE41168	GSM1009844	T	None	9.682995
21	Adipose-Normal	GSE41168	GSM1009854	T	None	8.816983
22	Adipose-Normal	GSE41168	GSM1009872	T	None	10.06609
23	Adipose-Normal	GSE41168	GSM1009886	T	None	8.438792
24	Adipose-Normal	GSE43346	GSM1060754	T	None	9.455327
25	Adipose-Normal	GSE7307	GSM175834	T	None	9.539159
26	Adipose-Normal	GSE7307	GSM175835	T	None	9.417852
27	Adipose-Normal	GSE7307	GSM175836	T	None	9.894817
28	Adipose-Normal	GSE7307	GSM175837	T	None	8.611025
29	Adipose-Normal	GSE7307	GSM175994	T	None	10.550747
30	Adipose-Normal	GSE7307	GSM176027	T	None	8.936638
31	Adipose-Normal	GSE7307	GSM176028	T	None	8.771489
32	Adipose-Normal	GSE7307	GSM176118	T	None	8.47978
33	Adipose-Normal	GSE7307	GSM176119	T	None	8.870365
34	Adipose-Normal	GSE7307	GSM176121	T	None	8.330916
35	Adipose-Normal	GSE13506	GSM340489	T	None	8.629356
36	Adipose-Normal	GSE13506	GSM340490	T	None	8.531382
37	Adipose-Normal	GSE13506	GSM340491	T	None	9.509775
38	Adipose-Normal	GSE13506	GSM340492	T	None	9.014021
39	Adipose-Normal	GSE13506	GSM340493	T	None	9.361944
40	Adipose-Normal	GSE13506	GSM340494	T	None	8.388018
41	Adipose-Normal	GSE13506	GSM340495	T	None	8.810572
42	Adipose-Normal	GSE13506	GSM340496	T	None	9.368506
43	Adipose-Normal	GSE13506	GSM340497	T	None	9.430452
44	Adipose-Normal	GSE13506	GSM340498	T	None	9.224002
45	Adipose-Normal	GSE13506	GSM340499	T	None	8.588715
46	Adipose-Normal	GSE13506	GSM340500	T	None	9.179909
47	Adipose-Normal	GSE13506	GSM340501	T	None	9.090113
48	Adipose-Normal	GSE13506	GSM340502	T	None	8.550747
49	Adipose-Normal	GSE13506	GSM340503	T	None	9.2946205
50	Adipose-Normal	GSE13506	GSM340504	T	None	9.467606
51	Adipose-Normal	GSE13506	GSM340505	T	None	9.507794
52	Adipose-Normal	GSE13506	GSM340506	T	None	8.965784
53	Adipose-Normal	GSE13506	GSM340507	T	None	8.447083
54	Adipose-Normal	GSE13506	GSM340508	T	None	8.7414665
55	Adipose-Normal	GSE13506	GSM340509	T	None	9.330916
56	Adipose-Normal	GSE13506	GSM340510	T	None	9.377211
57	Adipose-Normal	GSE13506	GSM340511	T	None	8.948367
58	Adipose-Normal	GSE13506	GSM340512	T	None	9.696967
59	Adipose-Normal	GSE13506	GSM340513	T	None	8.97728
60	Adipose-Normal	GSE13506	GSM340514	T	None	9.831307
61	Adipose-Normal	GSE13506	GSM340515	T	None	8.927778
62	Adipose-Normal	GSE13506	GSM340516	T	None	9.095397
63	Adipose-Normal	GSE13506	GSM340517	T	None	9.2526655
64	Adipose-Normal	GSE13506	GSM340518	T	None	8.422065
65	Adipose-Normal	GSE13506	GSM340519	T	None	7.820179
66	Adipose-Normal	GSE13506	GSM340520	T	None	10.617468
67	Adipose-Normal	GSE13506	GSM340521	T	None	9.813781
68	Adipose-Normal	GSE13506	GSM340522	T	None	9.60733
69	Adipose-Normal	GSE13506	GSM340523	T	None	9.216746
70	Adipose-Normal	GSE13506	GSM340524	T	None	9.147205
71	Adipose-Normal	GSE13506	GSM340525	T	None	9.047124
72	Adipose-Normal	GSE13506	GSM340526	T	None	8.988685
73	Adipose-Normal	GSE13506	GSM340527	T	None	8.625709
74	Adipose-Normal	GSE13506	GSM340528	T	None	9.271463
75	Adipose-Normal	GSE13506	GSM340529	T	None	9.473705
76	Adipose-Normal	GSE13506	GSM340530	T	None	7.5698557
77	Adipose-Normal	GSE13506	GSM340531	T	None	9.319673
78	Adipose-Normal	GSE13506	GSM340532	T	None	9.453271
79	Adipose-Normal	GSE13506	GSM340533	T	None	8.727921
80	Adipose-Normal	GSE13506	GSM340534	T	None	9.100662
81	Adipose-Normal	GSE13506	GSM340535	T	None	8.761551
82	Adipose-Normal	GSE13506	GSM340536	T	None	9.312883
83	Adrenal_Gland-Cancer	GSE19776	GSM1094056	T	None	8.954196
84	Adrenal_Gland-Cancer	GSE19776	GSM1094057	T	None	9.278449
85	Adrenal_Gland-Cancer	GSE19776	GSM1094058	T	None	11.884171
86	Adrenal_Gland-Cancer	GSE19776	GSM1094059	T	None	8.927778
87	Adrenal_Gland-Cancer	GSE19776	GSM1094060	T	None	10.407268
88	Adrenal_Gland-Cancer	GSE19776	GSM1094061	T	None	8.438792
89	Adrenal_Gland-Cancer	GSE19776	GSM1094062	T	None	9.537218
90	Adrenal_Gland-Cancer	GSE19776	GSM1094063	T	None	11.562719
91	Adrenal_Gland-Cancer	GSE19776	GSM1094064	T	None	8.303781
92	Adrenal_Gland-Cancer	GSE19776	GSM1094065	T	None	10.005625
93	Adrenal_Gland-Cancer	GSE19776	GSM1094066	T	None	8.451211
94	Adrenal_Gland-Cancer	GSE19776	GSM1094067	T	None	8.873445
95	Adrenal_Gland-Cancer	GSE19776	GSM1094068	T	None	9.353147
96	Adrenal_Gland-Cancer	GSE19776	GSM1094069	T	None	11.44605
97	Adrenal_Gland-Cancer	GSE19776	GSM1094070	T	None	9.623881
98	Adrenal_Gland-Cancer	GSE19776	GSM1094071	T	None	10.477758
99	Adrenal_Gland-Cancer	GSE19776	GSM1094072	T	None	11.373409
100	Adrenal_Gland-Cancer	GSE19776	GSM1094073	T	None	8.968667
101	Adrenal_Gland-Cancer	GSE19776	GSM1094074	T	None	8.839204
102	Adrenal_Gland-Cancer	GSE19776	GSM1094075	T	None	8.675957
103	Adrenal_Gland-Cancer	GSE19776	GSM1094076	T	None	12.120562
104	Adrenal_Gland-Cancer	GSE19776	GSM1094077	T	None	8.778077
105	Adrenal_Gland-Cancer	GSE19776	GSM1094078	T	None	11.469642
106	Adrenal_Gland-Cancer	GSE19776	GSM1094079	T	None	9.038919
107	Adrenal_Gland-Cancer	GSE19776	GSM1094080	T	None	9.675957
108	Adrenal_Gland-Cancer	GSE2109	GSM117754	T	None	9.647458
109	Adrenal_Gland-Cancer	GSE2109	GSM203678	T	None	8.495855
110	Adrenal_Gland-Cancer	GSE8514	GSM211446	T	None	10.271463
111	Adrenal_Gland-Cancer	GSE8514	GSM211451	T	None	7.3037806
112	Adrenal_Gland-Cancer	GSE8514	GSM211452	T	None	8.625709
113	Adrenal_Gland-Cancer	GSE8514	GSM211453	T	None	9.442944
114	Adrenal_Gland-Cancer	GSE8514	GSM211454	T	None	9.764872
115	Adrenal_Gland-Cancer	GSE8514	GSM211455	T	None	9.461479
116	Adrenal_Gland-Cancer	GSE8514	GSM211456	T	None	10.405142
